#This file contains the outputs from the newton-dog-leg-cauchy method solver. The outputs are ordered in the following way: 
#Iteration point | directions(Newton-Steepest-Dog leg) | trust radius | norm | reduction 
(31.3633,88.6996)   (-436.715,262.845)   (0,0)   (0,0)   (0,0)   (0,0)   (0.101356,-0.99466)   (-16.7413,10.8963)   20   1.59617e+39   0.369849   1.27387e+78
(31.4646,87.7049)   (-453.457,273.741)   (0,0)   (0,0)   (0,0)   (0,0)   (-0.0935809,-0.995437)   (-16.5504,11.1841)   20   5.90341e+38   0.369562   1.74251e+77
(31.3711,86.7095)   (-470.007,284.925)   (0,0)   (0,0)   (0,0)   (0,0)   (0.085873,-0.996145)   (-16.4339,11.3546)   20   2.18167e+38   0.3693   2.37985e+76
(31.4569,85.7133)   (-486.441,296.28)   (0,0)   (0,0)   (0,0)   (0,0)   (-0.0782187,-0.99679)   (-16.1986,11.6879)   20   8.05693e+37   0.369062   3.24571e+75
(31.3787,84.7166)   (-502.64,307.968)   (0,0)   (0,0)   (0,0)   (0,0)   (0.0706065,-0.997372)   (-16.0282,11.9205)   20   2.97351e+37   0.368848   4.42088e+74
(31.4493,83.7192)   (-518.668,319.888)   (0,0)   (0,0)   (0,0)   (0,0)   (-0.063028,-0.997894)   (-15.721,12.3228)   20   1.09677e+37   0.368655   6.01454e+73
(31.3863,82.7213)   (-534.389,332.211)   (0,0)   (0,0)   (0,0)   (0,0)   (0.0554771,-0.998356)   (-15.4585,12.6505)   20   4.0433e+36   0.368485   8.17415e+72
(31.4418,81.7229)   (-549.847,344.861)   (0,0)   (0,0)   (0,0)   (0,0)   (-0.0479519,-0.99876)   (-15.0223,13.1656)   20   1.4899e+36   0.368336   1.10989e+72
(31.3938,80.7242)   (-564.869,358.027)   (0,0)   (0,0)   (0,0)   (0,0)   (0.040455,-0.999106)   (-14.5805,13.6532)   20   5.48782e+35   0.368209   1.50581e+71
(31.4343,79.7251)   (-579.45,371.68)   (0,0)   (0,0)   (0,0)   (0,0)   (-0.0329982,-0.999394)   (-13.8719,14.3725)   20   2.02066e+35   0.368102   2.04154e+70
(31.4013,78.7257)   (-593.322,386.053)   (0,0)   (0,0)   (0,0)   (0,0)   (0.0256066,-0.999625)   (-12.9999,15.1659)   20   7.4381e+34   0.368017   2.76627e+69
(31.4269,77.726)   (-606.322,401.219)   (0,0)   (0,0)   (0,0)   (0,0)   (-0.0183375,-0.999799)   (-11.5326,16.3095)   20   2.73735e+34   0.367953   3.74655e+68
